idx,prompt_len,total_time,ttft,tpot,tokens_generated
0,19,0.8086,0.042,0.006,128
1,25,0.8127,0.0396,0.006,128
2,21,0.811,0.0393,0.006,128
3,24,0.8124,0.039,0.006,128
4,22,0.8108,0.0386,0.006,128
5,19,0.7987,0.0325,0.006,128
6,25,0.7983,0.0287,0.006,128
7,21,0.7979,0.0277,0.006,128
8,24,0.7967,0.0262,0.006,128
9,22,0.7956,0.0265,0.006,128
10,19,0.7915,0.0225,0.006,128
11,25,0.8031,0.0342,0.006,128
12,21,0.8023,0.0331,0.006,128
13,24,0.8019,0.0324,0.006,128
14,22,0.8013,0.0327,0.006,128
15,19,0.7945,0.0265,0.006,128
16,25,0.8007,0.0318,0.006,128
17,21,0.8001,0.0316,0.006,128
18,24,0.8001,0.0314,0.006,128
19,22,0.7999,0.0314,0.006,128
